timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc
2026-08-05 09:11:42,0,80.25,397.7,4398.1,9.26
2026-08-05 09:11:54,0,76.75,482.6,4398.1,11.24
2026-08-05 09:12:07,0,82.00,520.3,4398.1,12.11
2026-08-05 09:12:20,0,85.13,530.4,4398.1,12.35
2026-08-05 09:12:33,0,87.32,565.8,4398.1,13.17
2026-08-05 09:12:47,1,88.87,558.9,4398.1,13.01
2026-08-05 09:13:00,1,89.97,572.4,4398.1,13.33
2026-08-05 09:13:13,1,90.95,585.3,4398.1,13.63
2026-08-05 09:13:26,1,91.65,601.6,4398.1,14.01
2026-08-05 09:13:39,1,92.23,627.8,4398.1,14.62
2026-08-05 09:13:52,2,92.66,624.1,4398.1,14.53
2026-08-05 09:14:06,2,93.01,634.7,4398.1,14.78
2026-08-05 09:14:19,2,93.37,647,4398.1,15.06
2026-08-05 09:14:33,2,93.67,654,4398.1,15.23
2026-08-05 09:14:47,3,93.94,667.4,4398.1,15.54
2026-08-05 09:15:00,3,94.20,674.4,4398.1,15.70
2026-08-05 09:15:14,3,94.41,681.9,4398.1,15.88
2026-08-05 09:15:27,3,94.62,688.7,4398.1,16.04
2026-08-05 09:15:40,3,94.81,703.6,4398.1,16.38
2026-08-05 09:15:53,4,94.94,700.2,4398.1,16.30
2026-08-05 09:16:06,4,95.11,710.9,4398.1,16.55
2026-08-05 09:16:18,4,95.27,706.1,4398.1,16.44
2026-08-05 09:16:31,4,95.41,714.6,4398.1,16.64
2026-08-05 09:16:44,5,95.55,729.8,4398.1,16.99
2026-08-05 09:16:57,5,95.66,744.6,4398.1,17.34
2026-08-05 09:17:10,5,95.77,734.1,4398.1,17.09
2026-08-05 09:17:23,5,95.89,738.3,4398.1,17.19
2026-08-05 09:17:36,5,96.00,746.3,4398.1,17.38
2026-08-05 09:17:49,6,96.07,785.6,4398.1,18.29
2026-08-05 09:18:02,6,96.15,761.1,4398.1,17.72
2026-08-05 09:18:15,6,96.24,767.4,4398.1,17.87
2026-08-05 09:18:28,6,96.32,773.7,4398.1,18.01
2026-08-05 09:18:41,6,96.38,780.3,4398.1,18.17
2026-08-05 09:18:54,7,96.45,783.9,4398.1,18.25
2026-08-05 09:19:07,7,96.54,791.9,4398.1,18.44
2026-08-05 09:19:20,7,96.60,798.1,4398.1,18.58
2026-08-05 09:19:32,7,96.66,805.3,4398.1,18.75
2026-08-05 09:19:45,8,96.72,810.9,4398.1,18.88
2026-08-05 09:19:58,8,96.77,817.9,4398.1,19.04
2026-08-05 09:20:10,8,96.81,824.2,4398.1,19.19
2026-08-05 09:20:23,8,96.86,826.9,4398.1,19.25
2026-08-05 09:20:36,8,96.90,834.9,4398.1,19.44
2026-08-05 09:20:49,9,96.95,849.6,4398.1,19.78
2026-08-05 09:21:02,9,96.99,847.7,4398.1,19.74
2026-08-05 09:21:16,9,97.03,854.4,4398.1,19.89
2026-08-05 09:21:29,9,97.06,861.6,4398.1,20.06
2026-08-05 09:21:42,10,97.09,869.1,4398.1,20.23
2026-08-05 09:21:55,10,97.13,871.8,4398.1,20.30
2026-08-05 09:22:08,10,97.16,888.2,4398.1,20.68
2026-08-05 09:22:21,10,97.19,884.4,4398.1,20.59
2026-08-05 09:22:35,10,97.21,897.5,4398.1,20.90
2026-08-05 09:22:47,11,97.23,896.6,4398.1,20.88
2026-08-05 09:23:01,11,97.26,907.9,4398.1,21.14
2026-08-05 09:23:14,11,97.27,907.9,4398.1,21.14
2026-08-05 09:23:28,11,97.29,914.6,4398.1,21.29
