timestamp,elapsed_min,disk_mb
2026-08-05 10:25:29,0,2
2026-08-05 10:25:41,0,6
2026-08-05 10:25:54,0,10
2026-08-05 10:26:07,0,16
2026-08-05 10:26:20,0,21
2026-08-05 10:26:33,1,25
2026-08-05 10:26:46,1,30
2026-08-05 10:27:00,1,35
2026-08-05 10:27:13,1,40
2026-08-05 10:27:26,1,45
2026-08-05 10:27:41,2,50
2026-08-05 10:27:53,2,55
2026-08-05 10:28:07,2,60
2026-08-05 10:28:20,2,65
2026-08-05 10:28:33,3,70
2026-08-05 10:28:47,3,75
2026-08-05 10:29:00,3,80
2026-08-05 10:29:14,3,85
2026-08-05 10:29:28,3,90
2026-08-05 10:29:40,4,95
2026-08-05 10:29:54,4,100
2026-08-05 10:30:07,4,105
2026-08-05 10:30:20,4,109
2026-08-05 10:30:33,5,114
2026-08-05 10:30:46,5,118
2026-08-05 10:31:00,5,122
2026-08-05 10:31:14,5,125
2026-08-05 10:31:29,6,130
2026-08-05 10:31:44,6,132
2026-08-05 10:31:56,6,137
2026-08-05 10:32:11,6,141
2026-08-05 10:32:25,6,145
2026-08-05 10:32:40,7,149
2026-08-05 10:32:55,7,152
2026-08-05 10:33:09,7,156
2026-08-05 10:33:23,7,160
2026-08-05 10:33:37,8,164
2026-08-05 10:33:51,8,168
2026-08-05 10:34:05,8,172
2026-08-05 10:34:19,8,176
2026-08-05 10:34:33,9,180
2026-08-05 10:34:48,9,184
2026-08-05 10:35:03,9,188
2026-08-05 10:35:17,9,192
2026-08-05 10:35:31,10,195
2026-08-05 10:35:44,10,199
2026-08-05 10:35:58,10,203
2026-08-05 10:36:12,10,207
2026-08-05 10:36:26,10,211
2026-08-05 10:36:41,11,214
2026-08-05 10:36:55,11,219
2026-08-05 10:37:10,11,223
2026-08-05 10:37:24,11,227
2026-08-05 10:37:39,12,230
2026-08-05 10:37:53,12,234
2026-08-05 10:38:08,12,237
2026-08-05 10:38:23,12,240
2026-08-05 10:38:37,13,243
2026-08-05 10:38:50,13,246
2026-08-05 10:39:05,13,250
2026-08-05 10:39:20,13,253
2026-08-05 10:39:33,14,257
2026-08-05 10:39:47,14,261
2026-08-05 10:40:00,14,264
2026-08-05 10:40:13,14,267
2026-08-05 10:40:27,14,272
2026-08-05 10:40:42,15,276
2026-08-05 10:40:56,15,280
2026-08-05 10:41:10,15,284
2026-08-05 10:41:25,15,288
2026-08-05 10:41:39,16,291
2026-08-05 10:41:53,16,296
2026-08-05 10:42:08,16,299
2026-08-05 10:42:21,16,304
2026-08-05 10:42:36,17,307
2026-08-05 10:42:50,17,311
2026-08-05 10:43:04,17,315
2026-08-05 10:43:19,17,318
2026-08-05 10:43:32,18,322
2026-08-05 10:43:45,18,327
2026-08-05 10:43:58,18,331
2026-08-05 10:44:11,18,335
2026-08-05 10:44:23,18,340
2026-08-05 10:44:36,19,345
2026-08-05 10:44:49,19,349
2026-08-05 10:45:02,19,353
2026-08-05 10:45:15,19,358
2026-08-05 10:45:29,20,363
2026-08-05 10:45:41,20,364
2026-08-05 10:45:54,20,363
2026-08-05 10:46:06,20,362
2026-08-05 10:46:18,20,361
2026-08-05 10:46:30,21,360
2026-08-05 10:46:42,21,360
2026-08-05 10:46:54,21,359
2026-08-05 10:47:06,21,358
2026-08-05 10:47:18,21,357
2026-08-05 10:47:30,22,356
2026-08-05 10:47:42,22,356
2026-08-05 10:47:54,22,355
2026-08-05 10:48:06,22,354
2026-08-05 10:48:18,22,353
2026-08-05 10:48:30,23,353
2026-08-05 10:48:42,23,352
2026-08-05 10:48:54,23,351
2026-08-05 10:49:06,23,350
2026-08-05 10:49:18,23,349
2026-08-05 10:49:30,24,348
2026-08-05 10:49:42,24,348
2026-08-05 10:49:54,24,347
2026-08-05 10:50:06,24,346
2026-08-05 10:50:18,24,345
