timestamp,elapsed_min,vm_size_kb,vm_rss_kb,vm_data_kb,vm_stk_kb
2026-08-05 10:25:29,0,931960,341284,381732,132
2026-08-05 10:25:41,0,5549940,425880,752812,132
2026-08-05 10:25:54,0,6114956,449112,813164,132
2026-08-05 10:26:07,0,6121184,464368,832132,132
2026-08-05 10:26:20,0,6127612,479148,849480,132
2026-08-05 10:26:33,1,6133636,493208,866424,132
2026-08-05 10:26:46,1,6139664,505756,881552,132
2026-08-05 10:27:00,1,6147112,518896,896572,132
2026-08-05 10:27:13,1,6152316,529444,903204,132
2026-08-05 10:27:26,1,6160168,539452,912076,132
2026-08-05 10:27:41,2,6164968,549876,918508,132
2026-08-05 10:27:53,2,6171396,559152,925956,132
2026-08-05 10:28:07,2,6177824,568308,933200,132
2026-08-05 10:28:20,2,6184460,578652,941584,132
2026-08-05 10:28:33,3,6191912,587548,949968,132
2026-08-05 10:28:47,3,6198252,593880,956396,132
2026-08-05 10:29:00,3,6205280,601252,963612,132
2026-08-05 10:29:14,3,6211304,607612,970020,132
2026-08-05 10:29:28,3,6217628,615100,977172,132
2026-08-05 10:29:40,4,6223656,620928,983400,132
2026-08-05 10:29:54,4,6230080,627884,990024,132
2026-08-05 10:30:07,4,6236308,634212,996540,132
2026-08-05 10:30:20,4,6242296,640760,1002616,132
2026-08-05 10:30:33,5,6248944,647016,1009452,132
2026-08-05 10:30:46,5,6253860,652688,1014468,132
2026-08-05 10:31:00,5,6259704,658620,1020412,132
2026-08-05 10:31:14,5,6264528,663264,1025336,132
2026-08-05 10:31:29,6,6269916,668864,1031012,132
2026-08-05 10:31:44,6,6274736,674000,1035832,132
2026-08-05 10:31:56,6,6279724,679008,1041212,132
2026-08-05 10:32:11,6,6284920,684120,1046508,132
2026-08-05 10:32:25,6,6290544,689956,1052240,132
2026-08-05 10:32:40,7,6294708,695328,1057036,132
2026-08-05 10:32:55,7,6299932,700044,1062360,132
2026-08-05 10:33:09,7,6304136,704828,1066664,132
2026-08-05 10:33:23,7,6309160,709660,1071776,132
2026-08-05 10:33:37,8,6313564,714608,1076180,132
2026-08-05 10:33:51,8,6317988,719016,1080704,132
2026-08-05 10:34:05,8,6323428,724192,1086164,132
2026-08-05 10:34:19,8,6328656,729268,1091504,132
2026-08-05 10:34:33,9,6333980,735360,1097556,132
2026-08-05 10:34:48,9,6338584,740496,1102172,132
2026-08-05 10:35:03,9,6343988,746516,1108276,132
2026-08-05 10:35:17,9,6349228,751824,1113528,132
2026-08-05 10:35:31,10,6354452,756788,1118752,132
2026-08-05 10:35:44,10,6356176,761328,1122488,132
2026-08-05 10:35:58,10,6362596,766560,1128908,132
2026-08-05 10:36:12,10,6367624,772276,1134576,132
2026-08-05 10:36:26,10,6371624,777884,1139848,132
2026-08-05 10:36:41,11,6376864,782856,1145088,132
2026-08-05 10:36:55,11,6382088,788088,1150312,132
2026-08-05 10:37:10,11,6387516,793960,1155740,132
2026-08-05 10:37:24,11,6392740,799228,1160976,132
2026-08-05 10:37:39,12,6396644,803632,1164880,132
2026-08-05 10:37:53,12,6401868,809608,1171860,132
2026-08-05 10:38:08,12,6406196,813672,1176188,132
2026-08-05 10:38:23,12,6410420,818248,1181124,132
2026-08-05 10:38:37,13,6415060,823136,1185764,132
2026-08-05 10:38:50,13,6418572,827064,1189276,132
2026-08-05 10:39:05,13,6423196,831168,1193900,132
2026-08-05 10:39:20,13,6428024,836112,1198728,132
2026-08-05 10:39:33,14,6432224,840640,1202928,132
2026-08-05 10:39:47,14,6437156,845696,1207860,132
2026-08-05 10:40:00,14,6441580,850660,1212912,132
2026-08-05 10:40:13,14,6446176,855956,1218136,132
2026-08-05 10:40:27,14,6451568,860848,1223528,132
2026-08-05 10:40:42,15,6455968,866388,1228628,132
2026-08-05 10:40:56,15,6461380,871344,1234040,132
2026-08-05 10:41:10,15,6466508,877488,1240496,132
2026-08-05 10:41:25,15,6473996,885308,1247984,132
2026-08-05 10:41:39,16,6479220,890380,1253208,132
2026-08-05 10:41:53,16,6484848,895856,1258836,132
2026-08-05 10:42:08,16,6490072,901180,1264060,132
2026-08-05 10:42:21,16,6494276,906000,1268264,132
2026-08-05 10:42:36,17,6499100,911276,1273716,132
2026-08-05 10:42:50,17,6504328,916124,1278944,132
2026-08-05 10:43:04,17,6508728,921328,1283344,132
2026-08-05 10:43:19,17,6514380,926128,1289064,132
2026-08-05 10:43:32,18,6517980,931220,1293292,132
2026-08-05 10:43:45,18,6524208,936724,1299520,132
2026-08-05 10:43:58,18,6530032,942812,1305344,132
2026-08-05 10:44:11,18,6535460,948748,1311400,132
2026-08-05 10:44:23,18,6540420,954860,1317060,132
2026-08-05 10:44:36,19,6546648,961264,1323288,132
2026-08-05 10:44:49,19,6552876,968044,1330144,132
2026-08-05 10:45:02,19,6558300,973480,1335640,132
2026-08-05 10:45:15,19,6565352,981812,1344020,132
2026-08-05 10:45:29,20,6570976,987504,1350344,132
2026-08-05 10:45:41,20,6572976,989740,1352416,132
2026-08-05 10:45:54,20,6572976,990520,1353188,132
2026-08-05 10:46:06,20,6572976,991148,1353816,132
2026-08-05 10:46:18,20,6572976,991224,1353888,132
2026-08-05 10:46:30,21,6572976,991856,1354516,132
2026-08-05 10:46:42,21,6572976,991856,1354516,132
2026-08-05 10:46:54,21,6572976,992552,1355212,132
2026-08-05 10:47:06,21,6572976,992552,1355212,132
2026-08-05 10:47:18,21,6572976,992552,1355212,132
2026-08-05 10:47:30,22,6572976,993328,1355984,132
2026-08-05 10:47:42,22,6572976,995284,1357940,132
2026-08-05 10:47:54,22,6572976,995920,1358568,132
2026-08-05 10:48:06,22,6572976,996624,1359268,132
2026-08-05 10:48:18,22,6572976,996624,1359268,132
2026-08-05 10:48:30,23,6572976,996624,1359268,132
2026-08-05 10:48:42,23,6572976,996628,1359268,132
2026-08-05 10:48:54,23,6572976,996708,1359340,132
2026-08-05 10:49:06,23,6572976,996780,1359412,132
2026-08-05 10:49:18,23,6572976,996780,1359412,132
2026-08-05 10:49:30,24,6572976,997552,1360184,132
2026-08-05 10:49:42,24,6572976,997624,1360256,132
2026-08-05 10:49:54,24,6572976,997624,1360256,132
2026-08-05 10:50:06,24,6572976,997764,1360396,132
2026-08-05 10:50:18,24,6572976,997764,1360396,132
