timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc
2026-08-05 10:25:29,0,1.67,29.42,6327.3,0.48
2026-08-05 10:25:41,0,1.54,35.07,6327.3,0.57
2026-08-05 10:25:54,0,1.41,35.46,6327.3,0.57
2026-08-05 10:26:07,0,1.33,36.33,6327.3,0.59
2026-08-05 10:26:20,0,1.29,36.34,6327.3,0.59
2026-08-05 10:26:33,1,1.26,36.36,6327.3,0.59
2026-08-05 10:26:46,1,1.25,36.75,6327.3,0.59
2026-08-05 10:27:00,1,1.23,37.18,6327.3,0.60
2026-08-05 10:27:13,1,1.20,36.7,6327.3,0.59
2026-08-05 10:27:26,1,1.21,37.39,6327.3,0.61
2026-08-05 10:27:41,2,1.19,37.11,6327.3,0.60
2026-08-05 10:27:53,2,1.18,37.26,6327.3,0.60
2026-08-05 10:28:07,2,1.17,37.8,6327.3,0.61
2026-08-05 10:28:20,2,1.16,37.49,6327.3,0.61
2026-08-05 10:28:33,3,1.15,38.67,6327.3,0.63
2026-08-05 10:28:47,3,1.13,37.83,6327.3,0.61
2026-08-05 10:29:00,3,1.13,39.14,6327.3,0.63
2026-08-05 10:29:14,3,1.12,38.64,6327.3,0.63
2026-08-05 10:29:28,3,1.12,38.41,6327.3,0.62
2026-08-05 10:29:40,4,1.11,38.77,6327.3,0.63
2026-08-05 10:29:54,4,1.11,39,6327.3,0.63
2026-08-05 10:30:07,4,1.11,38.85,6327.3,0.63
2026-08-05 10:30:20,4,1.12,39.42,6327.3,0.64
2026-08-05 10:30:33,5,1.10,38.83,6327.3,0.63
2026-08-05 10:30:46,5,1.10,38.93,6327.3,0.63
2026-08-05 10:31:00,5,1.10,39.47,6327.3,0.64
2026-08-05 10:31:14,5,1.10,39.57,6327.3,0.64
2026-08-05 10:31:29,6,1.11,39.72,6327.3,0.64
2026-08-05 10:31:44,6,1.11,40.05,6327.3,0.65
2026-08-05 10:31:56,6,1.10,39.4,6327.3,0.64
2026-08-05 10:32:11,6,1.09,39.37,6327.3,0.64
2026-08-05 10:32:25,6,1.11,40.48,6327.3,0.66
2026-08-05 10:32:40,7,1.10,39.6,6327.3,0.64
2026-08-05 10:32:55,7,1.10,39.9,6327.3,0.65
2026-08-05 10:33:09,7,1.09,39.75,6327.3,0.64
2026-08-05 10:33:23,7,1.10,40.1,6327.3,0.65
2026-08-05 10:33:37,8,1.10,40.37,6327.3,0.65
2026-08-05 10:33:51,8,1.10,40.39,6327.3,0.65
2026-08-05 10:34:05,8,1.10,40.06,6327.3,0.65
2026-08-05 10:34:19,8,1.12,40.38,6327.3,0.65
2026-08-05 10:34:33,9,1.12,40.22,6327.3,0.65
2026-08-05 10:34:48,9,1.12,40.3,6327.3,0.65
2026-08-05 10:35:03,9,1.12,40.6,6327.3,0.66
2026-08-05 10:35:17,9,1.13,40.42,6327.3,0.65
2026-08-05 10:35:31,10,1.12,40.46,6327.3,0.65
2026-08-05 10:35:44,10,1.12,40.6,6327.3,0.66
2026-08-05 10:35:58,10,1.12,40.62,6327.3,0.66
2026-08-05 10:36:12,10,1.12,41.18,6327.3,0.67
2026-08-05 10:36:26,10,1.12,41.25,6327.3,0.67
2026-08-05 10:36:41,11,1.12,40.88,6327.3,0.66
2026-08-05 10:36:55,11,1.11,41.74,6327.3,0.68
2026-08-05 10:37:10,11,1.12,41.72,6327.3,0.68
2026-08-05 10:37:24,11,1.12,41.84,6327.3,0.68
2026-08-05 10:37:53,12,1.11,41.2,6327.3,0.67
2026-08-05 10:38:08,12,1.11,41.21,6327.3,0.67
2026-08-05 10:38:23,12,1.11,41.33,6327.3,0.67
2026-08-05 10:38:37,13,1.12,41.37,6327.3,0.67
2026-08-05 10:38:50,13,1.11,41.41,6327.3,0.67
2026-08-05 10:39:05,13,1.11,41.86,6327.3,0.68
2026-08-05 10:39:20,13,1.11,42.05,6327.3,0.68
2026-08-05 10:39:33,14,1.11,41.84,6327.3,0.68
2026-08-05 10:39:47,14,1.11,41.93,6327.3,0.68
2026-08-05 10:40:00,14,1.11,42,6327.3,0.68
2026-08-05 10:40:13,14,1.10,41.84,6327.3,0.68
2026-08-05 10:40:27,14,1.11,41.88,6327.3,0.68
2026-08-05 10:40:42,15,1.11,42.41,6327.3,0.69
2026-08-05 10:40:56,15,1.11,43.21,6327.3,0.70
2026-08-05 10:41:10,15,1.11,42.08,6327.3,0.68
2026-08-05 10:41:25,15,1.10,43.32,6327.3,0.70
2026-08-05 10:41:39,16,1.10,43.06,6327.3,0.70
2026-08-05 10:41:53,16,1.11,42.57,6327.3,0.69
2026-08-05 10:42:08,16,1.11,43.08,6327.3,0.70
2026-08-05 10:42:21,16,1.11,43.15,6327.3,0.70
2026-08-05 10:42:36,17,1.11,44.03,6327.3,0.71
2026-08-05 10:42:50,17,1.11,42.89,6327.3,0.69
2026-08-05 10:43:04,17,1.11,42.67,6327.3,0.69
2026-08-05 10:43:19,17,1.11,42.63,6327.3,0.69
2026-08-05 10:43:32,18,1.11,42.85,6327.3,0.69
2026-08-05 10:43:45,18,1.11,42.85,6327.3,0.69
