timestamp,elapsed_min,disk_mb
2026-08-05 12:29:48,0,2
2026-08-05 12:30:00,0,18
2026-08-05 12:30:34,0,38
2026-08-05 12:31:10,1,52
2026-08-05 12:31:42,1,68
2026-08-05 12:32:24,2,84
2026-08-05 12:33:01,3,101
2026-08-05 12:33:40,3,120
2026-08-05 12:34:22,4,134
2026-08-05 12:35:02,5,152
2026-08-05 12:35:40,5,167
2026-08-05 12:36:11,6,185
2026-08-05 12:36:50,7,196
2026-08-05 12:37:18,7,208
2026-08-05 12:37:51,8,223
2026-08-05 12:38:27,8,242
2026-08-05 12:39:15,9,259
2026-08-05 12:39:53,10,275
2026-08-05 12:40:33,10,293
2026-08-05 12:41:11,11,310
2026-08-05 12:41:49,12,325
2026-08-05 12:42:26,12,339
2026-08-05 12:43:06,13,352
2026-08-05 12:43:42,13,369
2026-08-05 12:44:18,14,384
2026-08-05 12:44:58,15,402
2026-08-05 12:45:38,15,419
2026-08-05 12:46:16,16,434
2026-08-05 12:46:52,17,447
2026-08-05 12:47:27,17,463
2026-08-05 12:48:08,18,479
2026-08-05 12:48:49,19,496
2026-08-05 12:49:29,19,510
2026-08-05 12:50:04,20,510
2026-08-05 12:50:32,20,509
2026-08-05 12:51:04,21,509
2026-08-05 12:51:31,21,509
2026-08-05 12:52:02,22,509
2026-08-05 12:52:33,22,509
2026-08-05 12:53:01,23,509
2026-08-05 12:53:29,23,508
2026-08-05 12:53:56,24,509
2026-08-05 12:54:21,24,508
