timestamp,elapsed_min,vm_size_kb,vm_rss_kb,vm_data_kb,vm_stk_kb
2026-08-05 12:29:48,0,767796,151828,254476,132
2026-08-05 12:30:00,0,5957268,253612,674796,132
2026-08-05 12:30:34,0,5984400,279988,701928,132
2026-08-05 12:31:10,1,6000852,297364,718380,132
2026-08-05 12:31:42,1,6022756,318288,740284,132
2026-08-05 12:32:24,2,6042236,323736,759764,132
2026-08-05 12:33:01,3,6064544,345568,782072,132
2026-08-05 12:33:40,3,6089060,360156,806588,132
2026-08-05 12:34:22,4,6107796,380304,825324,132
2026-08-05 12:35:02,5,6131500,403916,849028,132
2026-08-05 12:35:40,5,6150580,426812,868108,132
2026-08-05 12:36:11,6,6174288,450324,891816,132
2026-08-05 12:36:50,7,6188540,465088,906068,132
2026-08-05 12:37:18,7,6204620,480684,922148,132
2026-08-05 12:37:51,8,6223296,499396,940824,132
2026-08-05 12:38:27,8,6245140,446180,962668,132
2026-08-05 12:39:15,9,6268444,468632,985972,132
2026-08-05 12:39:53,10,6290992,491104,1008520,132
2026-08-05 12:40:33,10,6312872,526436,1030400,132
2026-08-05 12:41:11,11,6335176,548272,1052704,132
2026-08-05 12:41:49,12,6355472,568780,1073000,132
2026-08-05 12:42:26,12,6372348,585360,1089876,132
2026-08-05 12:43:06,13,6390028,603032,1107556,132
2026-08-05 12:43:42,13,6410508,624132,1128036,132
2026-08-05 12:44:18,14,6432412,629144,1149940,132
2026-08-05 12:44:58,15,6453492,650924,1171020,132
2026-08-05 12:45:38,15,6475096,672076,1192624,132
2026-08-05 12:46:16,16,6496576,694108,1214104,132
2026-08-05 12:46:52,17,6512656,709852,1230184,132
2026-08-05 12:47:27,17,6533512,731104,1251040,132
2026-08-05 12:48:08,18,6553792,751920,1271320,132
2026-08-05 12:48:49,19,6576728,803260,1294256,132
2026-08-05 12:49:29,19,6594008,836672,1311536,132
2026-08-05 12:50:04,20,6595408,809336,1312936,132
2026-08-05 12:50:32,20,6595408,839996,1312936,132
2026-08-05 12:51:04,21,6595408,848144,1312936,132
2026-08-05 12:51:31,21,6595408,849908,1313056,132
2026-08-05 12:52:02,22,6595408,849976,1313056,132
2026-08-05 12:52:33,22,6595408,850052,1313056,132
2026-08-05 12:53:01,23,6595408,850052,1313056,132
2026-08-05 12:53:29,23,6595408,850204,1313056,132
2026-08-05 12:53:56,24,6595408,850284,1313056,132
2026-08-05 12:54:21,24,6595408,850548,1313056,132
