timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc
2026-08-05 12:29:48,0,1.93,24.67,6327.3,0.40
2026-08-05 12:30:00,0,0.91,26.44,6327.3,0.43
2026-08-05 12:30:34,0,0.61,27.64,6327.3,0.45
2026-08-05 12:31:10,1,0.49,28.87,6327.3,0.47
2026-08-05 12:31:42,1,0.39,28.94,6327.3,0.47
2026-08-05 12:32:24,2,0.35,29.29,6327.3,0.47
2026-08-05 12:33:01,3,0.32,29.36,6327.3,0.48
2026-08-05 12:33:40,3,0.29,34.18,6327.3,0.55
2026-08-05 12:34:22,4,0.27,35.61,6327.3,0.58
2026-08-05 12:35:02,5,0.26,35.62,6327.3,0.58
2026-08-05 12:35:40,5,0.25,35.62,6327.3,0.58
2026-08-05 12:36:11,6,0.24,35.61,6327.3,0.58
2026-08-05 12:36:50,7,0.23,35.62,6327.3,0.58
2026-08-05 12:37:18,7,0.23,35.61,6327.3,0.58
2026-08-05 12:37:51,8,0.22,35.61,6327.3,0.58
2026-08-05 12:38:27,8,0.21,35.61,6327.3,0.58
2026-08-05 12:39:15,9,0.21,35.61,6327.3,0.58
2026-08-05 12:39:53,10,0.20,35.61,6327.3,0.58
2026-08-05 12:40:33,10,0.20,35.62,6327.3,0.58
2026-08-05 12:41:11,11,0.19,35.72,6327.3,0.58
2026-08-05 12:41:49,12,0.19,35.61,6327.3,0.58
2026-08-05 12:42:26,12,0.19,35.61,6327.3,0.58
2026-08-05 12:43:06,13,0.18,35.62,6327.3,0.58
2026-08-05 12:43:42,13,0.18,35.61,6327.3,0.58
2026-08-05 12:44:18,14,0.18,27.52,6327.3,0.45
2026-08-05 12:44:58,15,0.18,27.93,6327.3,0.45
2026-08-05 12:45:38,15,0.18,27.93,6327.3,0.45
2026-08-05 12:46:16,16,0.18,27.93,6327.3,0.45
2026-08-05 12:47:27,17,0.17,27.93,6327.3,0.45
2026-08-05 12:48:08,18,0.17,27.93,6327.3,0.45
2026-08-05 12:48:49,19,0.17,27.93,6327.3,0.45
2026-08-05 12:49:29,19,0.17,27.93,6327.3,0.45
2026-08-05 12:50:04,20,0.17,27.93,6327.3,0.45
2026-08-05 12:50:32,20,0.16,27.93,6327.3,0.45
2026-08-05 12:51:04,21,0.16,27.93,6327.3,0.45
2026-08-05 12:51:31,21,0.16,31.65,6327.3,0.51
2026-08-05 12:52:02,22,0.16,31.79,6327.3,0.51
2026-08-05 12:52:33,22,0.16,31.82,6327.3,0.51
2026-08-05 12:53:01,23,0.16,31.9,6327.3,0.52
2026-08-05 12:53:29,23,0.16,32.04,6327.3,0.52
2026-08-05 12:53:56,24,0.16,32.32,6327.3,0.52
2026-08-05 12:54:21,24,0.16,32.11,6327.3,0.52
