timestamp,elapsed_min,vm_size_kb,vm_rss_kb,vm_data_kb,vm_stk_kb
2026-08-05 12:29:48,0,174988,26856,1072,132
2026-08-05 12:30:00,0,174988,26856,1072,132
2026-08-05 12:30:34,0,174988,26856,1072,132
2026-08-05 12:31:10,1,174988,26856,1072,132
2026-08-05 12:31:42,1,174988,26836,1072,132
2026-08-05 12:32:24,2,174988,26836,1072,132
2026-08-05 12:33:01,3,174988,26836,1072,132
2026-08-05 12:33:40,3,174988,21904,1072,132
2026-08-05 12:34:22,4,174988,21312,1072,132
2026-08-05 12:35:02,5,174988,21312,1072,132
2026-08-05 12:35:40,5,174988,21312,1072,132
2026-08-05 12:36:11,6,174988,21312,1072,132
2026-08-05 12:36:50,7,174988,21312,1072,132
2026-08-05 12:37:18,7,174988,21312,1072,132
2026-08-05 12:37:51,8,174988,21312,1072,132
2026-08-05 12:38:27,8,174988,21296,1072,132
2026-08-05 12:39:15,9,174988,21268,1072,132
2026-08-05 12:39:53,10,174988,21268,1072,132
2026-08-05 12:40:33,10,174988,21268,1072,132
2026-08-05 12:41:11,11,174988,21268,1072,132
2026-08-05 12:41:49,12,174988,21268,1072,132
2026-08-05 12:42:26,12,174988,21268,1072,132
2026-08-05 12:43:06,13,174988,21268,1072,132
2026-08-05 12:43:42,13,174988,21268,1072,132
2026-08-05 12:44:18,14,174988,21044,1072,132
2026-08-05 12:44:58,15,174988,21044,1072,132
2026-08-05 12:45:38,15,174988,21044,1072,132
2026-08-05 12:46:16,16,174988,21044,1072,132
2026-08-05 12:47:27,17,174988,21044,1072,132
2026-08-05 12:48:08,18,174988,21044,1072,132
2026-08-05 12:48:49,19,174988,21044,1072,132
2026-08-05 12:49:29,19,174988,21044,1072,132
2026-08-05 12:50:04,20,174988,21044,1072,132
2026-08-05 12:50:32,20,174988,21044,1072,132
2026-08-05 12:51:04,21,174988,21044,1072,132
2026-08-05 12:51:31,21,174988,21044,1072,132
2026-08-05 12:52:02,22,174988,21044,1072,132
2026-08-05 12:52:33,22,174988,21044,1072,132
2026-08-05 12:53:01,23,174988,21044,1072,132
2026-08-05 12:53:29,23,174988,21044,1072,132
2026-08-05 12:53:56,24,174988,21044,1072,132
2026-08-05 12:54:21,24,174988,21044,1072,132
