timestamp,elapsed_min,vm_size_kb,vm_rss_kb,vm_data_kb,vm_stk_kb
2026-08-05 13:15:39,0,796164,341520,373812,132
2026-08-05 13:15:51,0,5844688,483888,848504,132
2026-08-05 13:16:02,0,6148256,519420,897920,132
2026-08-05 13:16:14,0,6154104,531680,907988,132
2026-08-05 13:16:26,0,6154104,562732,930280,132
2026-08-05 13:16:38,0,6155704,570372,934008,132
2026-08-05 13:16:49,1,6156308,570888,934612,132
2026-08-05 13:17:01,1,6157908,572516,936212,132
2026-08-05 13:17:12,1,6158508,573532,936812,132
2026-08-05 13:17:24,1,6160108,575248,938500,132
2026-08-05 13:17:35,1,6160908,576060,939300,132
2026-08-05 13:17:47,2,6162308,577372,940712,132
2026-08-05 13:17:59,2,6163908,579228,942400,132
2026-08-05 13:18:11,2,6164712,579964,943216,132
2026-08-05 13:18:22,2,6166312,581572,944816,132
2026-08-05 13:18:34,2,6166712,582288,945392,132
2026-08-05 13:18:46,3,6168512,584088,947192,132
2026-08-05 13:18:57,3,6169112,584860,948056,132
2026-08-05 13:19:09,3,6170712,586552,949748,132
2026-08-05 13:19:20,3,6171512,588064,951260,132
2026-08-05 13:19:32,3,6172916,589568,952664,132
2026-08-05 13:19:44,4,6174716,591272,954464,132
2026-08-05 13:19:55,4,6175316,592060,955152,132
2026-08-05 13:20:07,4,6178964,595708,958800,132
2026-08-05 13:20:19,4,6179564,596212,959400,132
2026-08-05 13:20:30,4,6180964,597712,960800,132
2026-08-05 13:20:42,5,6181564,598312,961400,132
2026-08-05 13:20:54,5,6183168,600004,963180,132
2026-08-05 13:21:05,5,6183568,600408,963580,132
2026-08-05 13:21:17,5,6185168,602108,965180,132
2026-08-05 13:21:29,5,6185768,602716,965788,132
2026-08-05 13:21:40,6,6187368,604216,967388,132
2026-08-05 13:21:52,6,6187968,604816,967988,132
2026-08-05 13:22:04,6,6189368,606316,969388,132
2026-08-05 13:22:16,6,6190168,607116,970188,132
2026-08-05 13:22:27,6,6191572,608556,971628,132
2026-08-05 13:22:39,7,6192372,609256,972428,132
2026-08-05 13:22:51,7,6193772,610756,973828,132
2026-08-05 13:23:02,7,6194572,611480,974652,132
2026-08-05 13:23:14,7,6195972,612980,976052,132
2026-08-05 13:23:26,7,6196572,613492,976664,132
2026-08-05 13:23:37,7,6198372,615292,978464,132
2026-08-05 13:23:49,8,6198972,615892,979064,132
2026-08-05 13:24:00,8,6200576,617496,980668,132
2026-08-05 13:24:12,8,6201176,618096,981268,132
2026-08-05 13:24:23,8,6202776,619796,982868,132
2026-08-05 13:24:35,8,6203776,620796,983868,132
2026-08-05 13:24:46,9,6205176,622096,985268,132
2026-08-05 13:24:58,9,6206776,623700,986868,132
2026-08-05 13:25:10,9,6207376,624312,987480,132
2026-08-05 13:25:22,9,6212876,629812,992980,132
2026-08-05 13:25:33,9,6213676,630612,993780,132
2026-08-05 13:25:45,10,6215076,632112,995180,132
2026-08-05 13:25:56,10,6215676,632712,995780,132
2026-08-05 13:26:08,10,6217476,634512,997580,132
2026-08-05 13:26:19,10,6218076,635024,998192,132
2026-08-05 13:26:31,10,6219676,636624,999792,132
2026-08-05 13:26:43,11,6220476,637524,1000592,132
2026-08-05 13:26:54,11,6221680,638728,1001796,132
2026-08-05 13:27:06,11,6223280,640328,1003396,132
2026-08-05 13:27:18,11,6223880,640932,1003996,132
2026-08-05 13:27:29,11,6225680,642636,1005796,132
2026-08-05 13:27:41,12,6226280,643336,1006396,132
2026-08-05 13:27:52,12,6227880,644836,1007996,132
2026-08-05 13:28:04,12,6228480,645536,1008596,132
2026-08-05 13:28:16,12,6229884,646940,1010000,132
2026-08-05 13:28:27,12,6230684,647640,1010800,132
2026-08-05 13:28:39,13,6232084,649040,1012200,132
2026-08-05 13:28:51,13,6232884,649840,1013000,132
2026-08-05 13:29:02,13,6234284,651340,1014400,132
2026-08-05 13:29:14,13,6235084,652040,1015200,132
2026-08-05 13:29:25,13,6236884,653840,1017000,132
2026-08-05 13:29:37,13,6237484,654440,1017600,132
2026-08-05 13:29:49,14,6239088,656044,1019204,132
2026-08-05 13:30:00,14,6240088,657044,1020204,132
2026-08-05 13:30:12,14,6241288,658244,1021404,132
2026-08-05 13:30:23,14,6242688,659644,1022804,132
2026-08-05 13:30:35,14,6243288,660344,1023404,132
2026-08-05 13:30:47,15,6244688,661744,1024804,132
2026-08-05 13:30:58,15,6245488,662544,1025604,132
2026-08-05 13:31:10,15,6246892,664576,1027636,132
2026-08-05 13:31:21,15,6247892,665476,1028636,132
2026-08-05 13:31:33,15,6249092,666676,1029836,132
2026-08-05 13:31:45,16,6249892,667480,1030636,132
2026-08-05 13:31:56,16,6251492,669080,1032236,132
2026-08-05 13:32:07,16,6252092,669680,1032836,132
2026-08-05 13:32:19,16,6253692,672012,1035136,132
2026-08-05 13:32:31,16,6254492,672828,1035936,132
2026-08-05 13:32:42,17,6255896,674488,1037340,132
2026-08-05 13:32:54,17,6257096,675688,1038540,132
2026-08-05 13:33:05,17,6259120,677888,1040564,132
