timestamp,elapsed_min,vm_size_kb,vm_rss_kb,vm_data_kb,vm_stk_kb
2026-08-05 13:15:39,0,174988,26956,1072,132
2026-08-05 13:15:51,0,174988,26956,1072,132
2026-08-05 13:16:02,0,174988,26956,1072,132
2026-08-05 13:16:14,0,174988,26956,1072,132
2026-08-05 13:16:26,0,174988,26956,1072,132
2026-08-05 13:16:38,0,174988,26956,1072,132
2026-08-05 13:16:49,1,174988,26956,1072,132
2026-08-05 13:17:01,1,174988,26956,1072,132
2026-08-05 13:17:12,1,174988,26956,1072,132
2026-08-05 13:17:24,1,174988,26956,1072,132
2026-08-05 13:17:35,1,174988,26956,1072,132
2026-08-05 13:17:47,2,174988,26956,1072,132
2026-08-05 13:17:59,2,174988,26956,1072,132
2026-08-05 13:18:11,2,174988,26956,1072,132
2026-08-05 13:18:22,2,174988,26956,1072,132
2026-08-05 13:18:34,2,174988,26956,1072,132
2026-08-05 13:18:46,3,174988,26956,1072,132
2026-08-05 13:18:57,3,174988,26956,1072,132
2026-08-05 13:19:09,3,174988,26956,1072,132
2026-08-05 13:19:20,3,174988,26956,1072,132
2026-08-05 13:19:32,3,174988,26956,1072,132
2026-08-05 13:19:44,4,174988,26956,1072,132
2026-08-05 13:19:55,4,174988,26956,1072,132
2026-08-05 13:20:07,4,174988,26956,1072,132
2026-08-05 13:20:19,4,174988,26956,1072,132
2026-08-05 13:20:30,4,174988,26956,1072,132
2026-08-05 13:20:42,5,174988,26956,1072,132
2026-08-05 13:20:54,5,174988,26956,1072,132
2026-08-05 13:21:05,5,174988,26956,1072,132
2026-08-05 13:21:17,5,174988,26956,1072,132
2026-08-05 13:21:29,5,174988,26956,1072,132
2026-08-05 13:21:40,6,174988,26956,1072,132
2026-08-05 13:21:52,6,174988,26956,1072,132
2026-08-05 13:22:04,6,174988,26956,1072,132
2026-08-05 13:22:16,6,174988,26956,1072,132
2026-08-05 13:22:27,6,174988,26956,1072,132
2026-08-05 13:22:39,7,174988,26956,1072,132
2026-08-05 13:22:51,7,174988,26956,1072,132
2026-08-05 13:23:02,7,174988,26956,1072,132
2026-08-05 13:23:14,7,174988,26956,1072,132
2026-08-05 13:23:26,7,174988,26956,1072,132
2026-08-05 13:23:37,7,174988,26956,1072,132
2026-08-05 13:23:49,8,174988,26956,1072,132
2026-08-05 13:24:00,8,174988,26956,1072,132
2026-08-05 13:24:12,8,174988,26956,1072,132
2026-08-05 13:24:23,8,174988,26956,1072,132
2026-08-05 13:24:35,8,174988,26956,1072,132
2026-08-05 13:24:46,9,174988,26956,1072,132
2026-08-05 13:24:58,9,174988,26956,1072,132
2026-08-05 13:25:10,9,174988,26956,1072,132
2026-08-05 13:25:22,9,174988,26956,1072,132
2026-08-05 13:25:33,9,174988,26956,1072,132
2026-08-05 13:25:45,10,174988,26956,1072,132
2026-08-05 13:25:56,10,174988,26956,1072,132
2026-08-05 13:26:08,10,174988,26956,1072,132
2026-08-05 13:26:19,10,174988,26956,1072,132
2026-08-05 13:26:31,10,174988,26956,1072,132
2026-08-05 13:26:43,11,174988,26956,1072,132
2026-08-05 13:26:54,11,174988,26956,1072,132
2026-08-05 13:27:06,11,174988,26956,1072,132
2026-08-05 13:27:18,11,174988,26956,1072,132
2026-08-05 13:27:29,11,174988,26956,1072,132
2026-08-05 13:27:41,12,174988,26956,1072,132
2026-08-05 13:27:52,12,178176,27096,3236,132
2026-08-05 13:28:04,12,178176,27188,3236,132
2026-08-05 13:28:16,12,178176,27204,3236,132
2026-08-05 13:28:27,12,178176,27464,3236,132
2026-08-05 13:28:39,13,178176,27548,3236,132
2026-08-05 13:28:51,13,178176,27788,3236,132
2026-08-05 13:29:02,13,178176,27948,3236,132
2026-08-05 13:29:14,13,178176,28048,3236,132
2026-08-05 13:29:25,13,178176,28136,3236,132
2026-08-05 13:29:37,13,178176,28340,3236,132
2026-08-05 13:29:49,14,178176,28372,3236,132
2026-08-05 13:30:00,14,178068,28636,3128,132
2026-08-05 13:30:12,14,178068,28688,3128,132
2026-08-05 13:30:23,14,178176,28840,3236,132
2026-08-05 13:30:35,14,175176,29876,1260,132
2026-08-05 13:30:47,15,175176,30644,1260,132
2026-08-05 13:30:58,15,175176,31028,1260,132
2026-08-05 13:31:10,15,175176,31924,1260,132
2026-08-05 13:31:21,15,175176,31924,1260,132
2026-08-05 13:31:33,15,175176,31988,1260,132
2026-08-05 13:31:45,16,175176,32308,1260,132
2026-08-05 13:31:56,16,175176,32436,1260,132
2026-08-05 13:32:07,16,175176,32436,1260,132
2026-08-05 13:32:19,16,175176,32436,1260,132
2026-08-05 13:32:31,16,175176,32500,1260,132
2026-08-05 13:32:42,17,175176,32500,1260,132
2026-08-05 13:32:54,17,175176,32500,1260,132
2026-08-05 13:33:05,17,175176,32500,1260,132
2026-08-05 13:33:17,17,175176,32500,1260,132
2026-08-05 13:33:28,17,175176,32500,1260,132
2026-08-05 13:33:40,18,175176,32500,1260,132
2026-08-05 13:33:51,18,175176,32500,1260,132
2026-08-05 13:34:03,18,175176,32500,1260,132
2026-08-05 13:34:15,18,175176,32500,1260,132
2026-08-05 13:34:26,18,175176,32500,1260,132
2026-08-05 13:34:38,18,175176,32500,1260,132
2026-08-05 13:34:50,19,175176,32500,1260,132
2026-08-05 13:35:01,19,175176,32500,1260,132
2026-08-05 13:35:13,19,175176,32584,1260,132
2026-08-05 13:35:25,19,175176,32584,1260,132
2026-08-05 13:35:36,19,175176,33032,1260,132
2026-08-05 13:35:48,20,175176,33032,1260,132
2026-08-05 13:36:00,20,175176,33032,1260,132
2026-08-05 13:36:12,20,175176,34824,1260,132
2026-08-05 13:36:24,20,175176,36488,1260,132
2026-08-05 13:36:36,20,175176,36616,1260,132
2026-08-05 13:36:47,21,175176,36936,1260,132
2026-08-05 13:36:59,21,175176,37896,1260,132
2026-08-05 13:37:11,21,175176,37896,1260,132
2026-08-05 13:37:22,21,175176,37960,1260,132
2026-08-05 13:37:34,21,175176,38152,1260,132
2026-08-05 13:37:46,22,175176,38792,1260,132
2026-08-05 13:37:57,22,175176,38856,1260,132
2026-08-05 13:38:09,22,175176,38856,1260,132
2026-08-05 13:38:20,22,175176,38856,1260,132
2026-08-05 13:38:32,22,175176,38856,1260,132
2026-08-05 13:38:44,23,175176,38984,1260,132
2026-08-05 13:38:56,23,175176,38984,1260,132
2026-08-05 13:39:07,23,175176,38984,1260,132
2026-08-05 13:39:19,23,175176,38984,1260,132
2026-08-05 13:39:31,23,175176,38984,1260,132
2026-08-05 13:39:42,24,175176,38984,1260,132
2026-08-05 13:39:54,24,175176,38984,1260,132
2026-08-05 13:40:05,24,175176,38984,1260,132
2026-08-05 13:40:17,24,175196,39128,1280,132
2026-08-05 13:40:29,24,175196,39128,1280,132
