timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc
2026-08-05 14:52:48,0,80.09,387.6,4398.1,9.02
2026-08-05 14:52:59,0,75.21,396.8,4398.1,9.24
2026-08-05 14:53:12,0,80.18,401.4,4398.1,9.35
2026-08-05 14:53:25,0,83.24,406.8,4398.1,9.47
2026-08-05 14:53:38,0,85.37,407.2,4398.1,9.48
2026-08-05 14:53:51,1,86.91,409.7,4398.1,9.54
2026-08-05 14:54:04,1,88.10,409.9,4398.1,9.54
2026-08-05 14:54:17,1,88.91,410.1,4398.1,9.55
2026-08-05 14:54:30,1,89.66,416.8,4398.1,9.70
2026-08-05 14:54:43,1,90.12,410,4398.1,9.55
2026-08-05 14:54:56,2,90.55,410.6,4398.1,9.56
2026-08-05 14:55:09,2,91.03,411.9,4398.1,9.59
2026-08-05 14:55:23,2,91.27,410.6,4398.1,9.56
2026-08-05 14:55:36,2,91.55,410.7,4398.1,9.56
2026-08-05 14:55:49,3,91.82,411.1,4398.1,9.57
2026-08-05 14:56:03,3,92.03,411.5,4398.1,9.58
2026-08-05 14:56:16,3,92.22,411.6,4398.1,9.58
2026-08-05 14:56:30,3,92.35,412.2,4398.1,9.60
2026-08-05 14:56:43,3,92.46,412.7,4398.1,9.61
2026-08-05 14:56:57,4,92.61,412.9,4398.1,9.61
2026-08-05 14:57:09,4,92.71,413,4398.1,9.62
2026-08-05 14:57:22,4,92.85,413.2,4398.1,9.62
2026-08-05 14:57:35,4,92.95,413.9,4398.1,9.64
2026-08-05 14:57:48,5,93.06,413.7,4398.1,9.63
2026-08-05 14:58:01,5,93.16,413.8,4398.1,9.64
2026-08-05 14:58:14,5,93.29,414.6,4398.1,9.65
2026-08-05 14:58:27,5,93.39,414.3,4398.1,9.65
2026-08-05 14:58:40,5,93.49,414.3,4398.1,9.65
2026-08-05 14:58:53,6,93.54,414.9,4398.1,9.66
2026-08-05 14:59:07,6,93.62,415.1,4398.1,9.66
