timestamp,elapsed_min,vm_size_kb,vm_rss_kb,vm_data_kb,vm_stk_kb
2026-08-05 14:52:48,0,653936,336512,358752,132
2026-08-05 14:52:59,0,662128,346412,368408,132
2026-08-05 14:53:12,0,665608,350088,372400,132
2026-08-05 14:53:25,0,669704,355056,377124,132
2026-08-05 14:53:38,0,669844,355552,377264,132
2026-08-05 14:53:51,1,672916,357744,380360,132
2026-08-05 14:54:04,1,672916,357784,380360,132
2026-08-05 14:54:17,1,672916,357792,380360,132
2026-08-05 14:54:30,1,672916,357800,380360,132
2026-08-05 14:54:43,1,672916,357800,380360,132
2026-08-05 14:54:56,2,672916,357800,380360,132
2026-08-05 14:55:09,2,672916,357876,380360,132
2026-08-05 14:55:23,2,672916,357884,380360,132
2026-08-05 14:55:36,2,672916,358088,380360,132
2026-08-05 14:55:49,3,672916,358100,380360,132
2026-08-05 14:56:03,3,672916,358296,380360,132
2026-08-05 14:56:16,3,672916,358452,380360,132
2026-08-05 14:56:30,3,672916,358488,380360,132
2026-08-05 14:56:43,3,673112,359052,382604,132
2026-08-05 14:56:57,4,674136,359412,383648,132
2026-08-05 14:57:09,4,674136,359528,383648,132
2026-08-05 14:57:22,4,674136,359644,383648,132
2026-08-05 14:57:35,4,674136,359748,383648,132
2026-08-05 14:57:48,5,674136,359852,383648,132
2026-08-05 14:58:01,5,674136,359956,383648,132
2026-08-05 14:58:14,5,674136,360068,383648,132
2026-08-05 14:58:27,5,674308,360280,383820,132
2026-08-05 14:58:40,5,674308,360384,383820,132
2026-08-05 14:58:53,6,674308,360520,383820,132
2026-08-05 14:59:07,6,674308,361028,383820,132
2026-08-05 14:59:19,6,674308,361124,383820,132
2026-08-05 14:59:33,6,674308,361460,383820,132
2026-08-05 14:59:46,6,674308,361580,383820,132
2026-08-05 15:00:00,7,675520,361956,385072,132
2026-08-05 15:00:14,7,675520,362092,385072,132
2026-08-05 15:00:27,7,675520,362444,385072,132
2026-08-05 15:00:40,7,675520,362708,385072,132
2026-08-05 15:00:53,8,675520,363008,385072,132
2026-08-05 15:01:07,8,675836,363452,387436,132
2026-08-05 15:01:21,8,675836,363552,387436,132
2026-08-05 15:01:35,8,675836,363656,387436,132
2026-08-05 15:01:48,9,675836,363744,387436,132
2026-08-05 15:02:02,9,675836,363844,387436,132
2026-08-05 15:02:16,9,675836,363940,387436,132
2026-08-05 15:02:31,9,675836,364040,387436,132
2026-08-05 15:02:44,9,677884,366204,389484,132
2026-08-05 15:02:58,10,678020,366444,389620,132
2026-08-05 15:03:12,10,679044,367508,390728,132
2026-08-05 15:03:27,10,679244,367828,390928,132
2026-08-05 15:03:41,10,679376,368132,391060,132
2026-08-05 15:03:54,11,679376,368268,391060,132
2026-08-05 15:04:07,11,679376,368360,391060,132
2026-08-05 15:04:21,11,680400,369772,392184,132
2026-08-05 15:04:35,11,680400,369896,392184,132
2026-08-05 15:04:48,12,681424,370080,393208,132
2026-08-05 15:05:02,12,681424,370176,393208,132
2026-08-05 15:05:15,12,681424,370352,393216,132
2026-08-05 15:05:29,12,681644,370676,393436,132
2026-08-05 15:05:41,12,681644,370800,393436,132
2026-08-05 15:05:55,13,681644,370896,395484,132
2026-08-05 15:06:09,13,681644,370996,395484,132
2026-08-05 15:06:23,13,681644,371096,395484,132
