timestamp,elapsed_min,vm_size_kb,vm_rss_kb,vm_data_kb,vm_stk_kb
2026-08-05 14:52:48,0,174988,26952,1072,132
2026-08-05 14:52:59,0,174988,26952,1072,132
2026-08-05 14:53:12,0,174988,26952,1072,132
2026-08-05 14:53:25,0,174988,26952,1072,132
2026-08-05 14:53:38,0,174988,26952,1072,132
2026-08-05 14:53:51,1,174988,26952,1072,132
2026-08-05 14:54:04,1,174988,26952,1072,132
2026-08-05 14:54:17,1,174988,26952,1072,132
2026-08-05 14:54:43,1,174988,26952,1072,132
2026-08-05 14:54:56,2,174988,26952,1072,132
2026-08-05 14:55:09,2,174988,26952,1072,132
2026-08-05 14:55:23,2,174988,26952,1072,132
2026-08-05 14:55:36,2,174988,26952,1072,132
2026-08-05 14:55:49,3,174988,26952,1072,132
2026-08-05 14:56:03,3,174988,26952,1072,132
2026-08-05 14:56:16,3,174988,26952,1072,132
2026-08-05 14:56:30,3,174988,26952,1072,132
2026-08-05 14:56:43,3,174988,26952,1072,132
2026-08-05 14:57:09,4,174988,26952,1072,132
2026-08-05 14:57:35,4,174988,26952,1072,132
2026-08-05 14:57:48,5,174988,26952,1072,132
2026-08-05 14:58:01,5,174988,26952,1072,132
2026-08-05 14:58:14,5,174988,26952,1072,132
2026-08-05 14:58:27,5,174988,26952,1072,132
2026-08-05 14:58:40,5,174988,26952,1072,132
2026-08-05 14:58:53,6,174988,26952,1072,132
2026-08-05 14:59:19,6,174988,26952,1072,132
2026-08-05 14:59:33,6,174988,26952,1072,132
2026-08-05 14:59:46,6,174988,26952,1072,132
2026-08-05 15:00:00,7,174988,26952,1072,132
2026-08-05 15:00:14,7,174988,26952,1072,132
2026-08-05 15:00:27,7,174988,26952,1072,132
2026-08-05 15:00:40,7,174988,26952,1072,132
2026-08-05 15:00:53,8,174988,26952,1072,132
2026-08-05 15:01:07,8,174988,26952,1072,132
2026-08-05 15:01:21,8,174988,26952,1072,132
2026-08-05 15:01:35,8,174988,26952,1072,132
2026-08-05 15:01:48,9,174988,26952,1072,132
