timestamp,elapsed_min,vm_size_kb,vm_rss_kb,vm_data_kb,vm_stk_kb
2026-08-06 09:13:10,0,649736,332408,354360,132
2026-08-06 09:13:21,0,649880,332468,354504,132
2026-08-06 09:13:33,0,650904,332696,355528,132
2026-08-06 09:13:45,0,651252,333116,355876,132
2026-08-06 09:13:57,0,653300,335380,357924,132
2026-08-06 09:14:08,0,653300,335580,357924,132
2026-08-06 09:14:20,1,653460,335820,358084,132
2026-08-06 09:14:32,1,651580,337008,359960,132
2026-08-06 09:14:44,1,651580,337124,359960,132
2026-08-06 09:14:55,1,652748,337472,361128,132
2026-08-06 09:15:07,1,652748,337576,361128,132
2026-08-06 09:15:19,2,652748,337732,361128,132
2026-08-06 09:15:31,2,652748,337988,363176,132
2026-08-06 09:15:43,2,652748,338256,363176,132
2026-08-06 09:15:55,2,652748,338532,363176,132
2026-08-06 09:16:07,2,652948,339008,363376,132
2026-08-06 09:16:18,3,652948,339280,363376,132
2026-08-06 09:16:30,3,654200,339648,364628,132
2026-08-06 09:16:42,3,654200,339924,364628,132
2026-08-06 09:16:54,3,654340,340320,364768,132
2026-08-06 09:17:07,3,654340,340584,364768,132
2026-08-06 09:17:19,4,654340,340836,364768,132
2026-08-06 09:17:30,4,654340,341064,364768,132
2026-08-06 09:17:42,4,654340,341284,364768,132
2026-08-06 09:17:55,4,654340,341504,364768,132
2026-08-06 09:18:07,4,654340,341752,364768,132
2026-08-06 09:18:19,5,654340,341932,366816,132
2026-08-06 09:18:31,5,655532,342428,368008,132
2026-08-06 09:18:44,5,655532,342632,368008,132
2026-08-06 09:18:56,5,655712,342944,368188,132
2026-08-06 09:19:08,5,655712,343172,368188,132
2026-08-06 09:19:21,6,655712,343388,368188,132
2026-08-06 09:19:33,6,657760,345684,370236,132
2026-08-06 09:19:45,6,657760,345924,370236,132
2026-08-06 09:19:57,6,657760,346160,370236,132
2026-08-06 09:20:09,6,657760,346400,370236,132
2026-08-06 09:20:21,7,658784,346732,371260,132
2026-08-06 09:20:33,7,659148,347216,371624,132
2026-08-06 09:20:45,7,659148,347492,371624,132
2026-08-06 09:20:57,7,659148,347776,371624,132
2026-08-06 09:21:09,7,659148,348052,371624,132
2026-08-06 09:21:21,8,659148,348288,371624,132
