timestamp,elapsed_min,vm_size_kb,vm_rss_kb,vm_data_kb,vm_stk_kb
2026-08-07 14:46:12,0,651164,332292,355788,132
2026-08-07 14:46:23,0,651592,332660,356216,132
2026-08-07 14:46:37,0,652596,332792,357220,132
2026-08-07 14:46:51,0,652728,332952,357352,132
2026-08-07 14:47:05,0,652940,333268,357564,132
2026-08-07 14:47:19,1,652748,333192,357372,132
2026-08-07 14:47:34,1,653036,333648,357660,132
2026-08-07 14:47:48,1,652788,333452,357412,132
2026-08-07 14:48:02,1,652856,333676,357480,132
2026-08-07 14:48:15,2,652960,333728,357584,132
2026-08-07 14:48:30,2,652848,333720,357472,132
2026-08-07 14:48:43,2,652964,333840,357588,132
2026-08-07 14:48:57,2,653072,333952,357696,132
2026-08-07 14:49:11,2,652216,335208,360596,132
2026-08-07 14:49:24,3,652216,335320,360596,132
2026-08-07 14:49:38,3,652200,335468,360580,132
2026-08-07 14:49:52,3,652328,335588,360708,132
2026-08-07 14:50:06,3,652328,335712,360708,132
2026-08-07 14:50:19,4,652604,336024,360984,132
2026-08-07 14:50:32,4,652324,335932,360704,132
2026-08-07 14:50:46,4,652452,336040,360832,132
2026-08-07 14:50:59,4,652452,336040,362880,132
2026-08-07 14:51:12,5,652560,336388,362988,132
2026-08-07 14:51:26,5,652432,336608,362860,132
2026-08-07 14:51:40,5,652560,336804,362988,132
2026-08-07 14:51:53,5,653796,337148,364224,132
2026-08-07 14:52:07,5,653796,337080,364224,132
2026-08-07 14:52:21,6,653796,337368,364224,132
2026-08-07 14:52:34,6,653796,337552,364224,132
2026-08-07 14:52:47,6,653796,337852,364224,132
2026-08-07 14:53:01,6,653796,338140,364224,132
2026-08-07 14:53:14,7,653796,338248,364224,132
2026-08-07 14:53:27,7,653800,338444,364228,132
2026-08-07 14:53:40,7,653800,338688,364228,132
2026-08-07 14:53:53,7,653800,338840,364228,132
2026-08-07 14:54:06,7,654004,339036,364432,132
2026-08-07 14:54:19,8,654004,339252,364432,132
2026-08-07 14:54:32,8,655028,339308,365456,132
2026-08-07 14:54:45,8,655056,339696,365484,132
2026-08-07 14:54:58,8,655008,339820,365436,132
2026-08-07 14:55:12,9,655136,339928,365564,132
2026-08-07 14:55:25,9,655136,340256,365564,132
2026-08-07 14:55:39,9,655116,340444,365544,132
2026-08-07 14:55:52,9,655244,340632,365672,132
2026-08-07 14:56:05,9,655116,340848,365544,132
2026-08-07 14:56:18,10,655356,341040,367832,132
2026-08-07 14:56:31,10,655356,341248,367832,132
2026-08-07 14:56:45,10,655356,341444,367832,132
2026-08-07 14:56:58,10,655460,341596,367936,132
2026-08-07 14:57:11,10,655460,341792,367936,132
2026-08-07 14:57:24,11,656484,341968,368960,132
2026-08-07 14:57:37,11,656392,342000,368868,132
2026-08-07 14:57:50,11,658644,344484,371120,132
2026-08-07 14:58:04,11,658644,344680,371120,132
2026-08-07 14:58:17,12,658644,344868,371120,132
2026-08-07 14:58:30,12,658756,345072,371232,132
2026-08-07 14:58:43,12,658756,345268,371232,132
2026-08-07 14:58:57,12,658756,345464,371232,132
2026-08-07 14:59:10,12,658860,345656,371336,132
2026-08-07 14:59:24,13,658824,345936,371300,132
2026-08-07 14:59:37,13,658860,346060,371336,132
2026-08-07 14:59:51,13,658872,346104,371348,132
2026-08-07 15:00:05,13,660004,346408,372480,132
2026-08-07 15:00:18,14,660004,346664,372480,132
2026-08-07 15:00:31,14,659920,346900,372396,132
2026-08-07 15:00:45,14,660124,347164,372600,132
2026-08-07 15:00:58,14,660124,347300,372600,132
2026-08-07 15:01:12,15,660124,347360,372600,132
2026-08-07 15:01:25,15,660084,347580,374608,132
2026-08-07 15:01:38,15,660236,347892,374760,132
2026-08-07 15:01:51,15,660108,347844,374632,132
2026-08-07 15:02:04,15,660236,348304,374760,132
2026-08-07 15:02:17,16,660148,348488,374672,132
2026-08-07 15:02:30,16,660356,348684,374880,132
2026-08-07 15:02:44,16,661380,348880,375904,132
2026-08-07 15:02:57,16,661380,349096,375904,132
2026-08-07 15:03:10,16,661324,349348,375848,132
2026-08-07 15:03:24,17,661528,349380,376052,132
2026-08-07 15:03:37,17,661528,349604,376052,132
2026-08-07 15:03:50,17,661568,349824,376092,132
2026-08-07 15:04:03,17,661444,350152,375968,132
2026-08-07 15:04:17,18,661656,350440,376180,132
2026-08-07 15:04:31,18,661656,350524,376180,132
2026-08-07 15:04:44,18,661656,350760,376180,132
2026-08-07 15:04:58,18,661832,351092,376356,132
2026-08-07 15:05:12,19,661764,351156,376288,132
2026-08-07 15:05:26,19,662788,351308,377312,132
2026-08-07 15:05:40,19,662860,351448,377384,132
2026-08-07 15:05:54,19,662860,351652,377384,132
2026-08-07 15:06:08,19,662860,351844,377384,132
2026-08-07 15:06:23,20,662632,351772,377156,132
2026-08-07 15:06:35,20,662632,351932,379204,132
2026-08-07 15:06:46,20,662632,351916,379204,132
2026-08-07 15:06:58,20,662632,352224,379204,132
2026-08-07 15:07:10,20,662632,352232,379204,132
2026-08-07 15:07:22,21,662632,352496,379204,132
2026-08-07 15:07:34,21,662632,352668,379204,132
2026-08-07 15:07:46,21,662632,352812,381132,132
2026-08-07 15:07:57,21,662632,352716,381132,132
2026-08-07 15:08:09,21,662632,353096,381132,132
2026-08-07 15:08:21,22,662632,353224,381132,132
2026-08-07 15:08:33,22,662632,353404,381132,132
2026-08-07 15:08:45,22,662632,353540,381132,132
2026-08-07 15:08:57,22,662632,353328,381132,132
2026-08-07 15:09:08,22,666728,355648,385228,132
2026-08-07 15:09:20,23,666728,355988,387276,132
2026-08-07 15:09:32,23,666728,356160,387276,132
2026-08-07 15:09:44,23,666728,356288,387276,132
2026-08-07 15:09:56,23,666728,356172,387276,132
2026-08-07 15:10:08,23,666728,356560,387276,132
2026-08-07 15:10:20,24,666728,356720,387276,132
2026-08-07 15:10:31,24,666728,356872,387276,132
2026-08-07 15:10:43,24,666728,357016,387276,132
2026-08-07 15:10:55,24,666728,357116,387276,132
2026-08-07 15:11:07,24,666728,357284,387276,132
