timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc
2026-08-10 15:37:20,0,1.36,25.02,8489.0,0.30
2026-08-10 15:37:31,0,1.16,25.48,8489.0,0.31
2026-08-10 15:37:42,0,1.15,27.15,8489.0,0.33
2026-08-10 15:37:54,0,1.09,27.32,8489.0,0.33
2026-08-10 15:38:06,0,1.05,28.58,8489.0,0.34
2026-08-10 15:38:17,0,1.02,28.9,8489.0,0.35
2026-08-10 15:38:29,1,0.98,28.64,8489.0,0.35
2026-08-10 15:38:41,1,0.93,28.93,8489.0,0.35
2026-08-10 15:38:52,1,0.90,29.41,8489.0,0.35
2026-08-10 15:39:03,1,0.86,29.54,8489.0,0.36
2026-08-10 15:39:15,1,0.84,29.55,8489.0,0.36
2026-08-10 15:39:26,2,0.82,29.84,8489.0,0.36
2026-08-10 15:39:37,2,0.80,30.11,8489.0,0.36
2026-08-10 15:39:49,2,0.79,30.59,8489.0,0.37
2026-08-10 15:40:01,2,0.77,30.57,8489.0,0.37
2026-08-10 15:40:12,2,0.76,31.02,8489.0,0.37
2026-08-10 15:40:23,3,0.75,31.23,8489.0,0.38
2026-08-10 15:40:35,3,0.74,31.5,8489.0,0.38
2026-08-10 15:40:46,3,0.73,31.48,8489.0,0.38
2026-08-10 15:40:58,3,0.72,31.69,8489.0,0.38
2026-08-10 15:41:09,3,0.71,31.94,8489.0,0.39
2026-08-10 15:41:20,4,0.71,32.43,8489.0,0.39
2026-08-10 15:41:32,4,0.70,32.37,8489.0,0.39
2026-08-10 15:41:43,4,0.70,32.59,8489.0,0.39
2026-08-10 15:41:54,4,0.69,32.94,8489.0,0.40
2026-08-10 15:42:06,4,0.69,33.1,8489.0,0.40
2026-08-10 15:42:17,4,0.68,33.39,8489.0,0.40
2026-08-10 15:42:28,5,0.68,33.63,8489.0,0.41
2026-08-10 15:42:40,5,0.68,33.86,8489.0,0.41
2026-08-10 15:42:51,5,0.68,34.1,8489.0,0.41
2026-08-10 15:43:03,5,0.67,34.33,8489.0,0.41
2026-08-10 15:43:14,5,0.67,34.56,8489.0,0.42
2026-08-10 15:43:25,6,0.66,34.61,8489.0,0.42
2026-08-10 15:43:37,6,0.64,34.61,8489.0,0.42
2026-08-10 15:43:48,6,0.63,34.61,8489.0,0.42
2026-08-10 15:43:59,6,0.62,34.61,8489.0,0.42
2026-08-10 15:44:10,6,0.61,34.61,8489.0,0.42
2026-08-10 15:44:21,7,0.60,34.62,8489.0,0.42
2026-08-10 15:44:32,7,0.59,34.62,8489.0,0.42
2026-08-10 15:44:43,7,0.58,34.62,8489.0,0.42
2026-08-10 15:44:55,7,0.57,34.62,8489.0,0.42
2026-08-10 15:45:06,7,0.56,34.62,8489.0,0.42
2026-08-10 15:45:17,7,0.55,34.62,8489.0,0.42
2026-08-10 15:45:28,8,0.54,34.62,8489.0,0.42
2026-08-10 15:45:39,8,0.53,34.62,8489.0,0.42
2026-08-10 15:45:50,8,0.52,34.62,8489.0,0.42
2026-08-10 15:46:01,8,0.52,34.62,8489.0,0.42
2026-08-10 15:46:13,8,0.51,34.62,8489.0,0.42
2026-08-10 15:46:24,9,0.50,34.62,8489.0,0.42
2026-08-10 15:46:35,9,0.50,34.62,8489.0,0.42
2026-08-10 15:46:46,9,0.49,34.62,8489.0,0.42
2026-08-10 15:46:57,9,0.48,34.89,8489.0,0.42
2026-08-10 15:47:08,9,0.48,34.63,8489.0,0.42
2026-08-10 15:47:19,9,0.47,34.63,8489.0,0.42
2026-08-10 15:47:30,10,0.47,34.63,8489.0,0.42
2026-08-10 15:47:41,10,0.46,34.63,8489.0,0.42
2026-08-10 15:47:52,10,0.46,34.63,8489.0,0.42
2026-08-10 15:48:03,10,0.45,34.63,8489.0,0.42
2026-08-10 15:48:14,10,0.45,34.63,8489.0,0.42
2026-08-10 15:48:25,11,0.44,34.63,8489.0,0.42
2026-08-10 15:48:37,11,0.44,34.63,8489.0,0.42
2026-08-10 15:48:48,11,0.43,34.63,8489.0,0.42
2026-08-10 15:48:59,11,0.43,34.63,8489.0,0.42
2026-08-10 15:49:10,11,0.43,34.63,8489.0,0.42
2026-08-10 15:49:21,12,0.42,34.63,8489.0,0.42
2026-08-10 15:49:32,12,0.42,34.63,8489.0,0.42
2026-08-10 15:49:43,12,0.41,34.63,8489.0,0.42
2026-08-10 15:49:54,12,0.41,34.63,8489.0,0.42
2026-08-10 15:50:06,12,0.41,34.63,8489.0,0.42
2026-08-10 15:50:17,12,0.40,34.63,8489.0,0.42
2026-08-10 15:50:28,13,0.40,34.63,8489.0,0.42
2026-08-10 15:50:50,13,0.39,34.63,8489.0,0.42
2026-08-10 15:51:01,13,0.39,34.63,8489.0,0.42
2026-08-10 15:51:12,13,0.39,34.63,8489.0,0.42
2026-08-10 15:51:23,14,0.38,34.63,8489.0,0.42
2026-08-10 15:51:34,14,0.38,34.63,8489.0,0.42
2026-08-10 15:51:45,14,0.38,34.63,8489.0,0.42
2026-08-10 15:51:56,14,0.37,34.63,8489.0,0.42
2026-08-10 15:52:08,14,0.37,34.63,8489.0,0.42
2026-08-10 15:52:19,14,0.37,34.63,8489.0,0.42
2026-08-10 15:52:30,15,0.37,34.63,8489.0,0.42
2026-08-10 15:52:41,15,0.36,34.63,8489.0,0.42
2026-08-10 15:52:52,15,0.36,34.63,8489.0,0.42
2026-08-10 15:53:03,15,0.36,34.63,8489.0,0.42
2026-08-10 15:53:14,15,0.36,34.63,8489.0,0.42
2026-08-10 15:53:25,16,0.35,34.63,8489.0,0.42
2026-08-10 15:53:36,16,0.35,34.63,8489.0,0.42
2026-08-10 15:53:47,16,0.35,34.63,8489.0,0.42
2026-08-10 15:53:58,16,0.35,34.63,8489.0,0.42
2026-08-10 15:54:10,16,0.35,34.63,8489.0,0.42
2026-08-10 15:54:21,17,0.34,34.63,8489.0,0.42
2026-08-10 15:54:32,17,0.34,34.63,8489.0,0.42
